"role","status","uid","username","email","password","class_id","error"
"servant","failed","","servantEdady1","servantEdady1@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady2","servantEdady2@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady3","servantEdady3@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady4","servantEdady4@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady5","servantEdady5@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady6","servantEdady6@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady7","servantEdady7@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady8","servantEdady8@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady9","servantEdady9@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady10","servantEdady10@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady11","servantEdady11@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady12","servantEdady12@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady13","servantEdady13@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady14","servantEdady14@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady15","servantEdady15@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady16","servantEdady16@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady17","servantEdady17@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady18","servantEdady18@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady19","servantEdady19@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady20","servantEdady20@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
"servant","failed","","servantEdady21","servantEdady21@e3dady.com","","1","Unable to detect a Project Id in the current environment. 
To learn more about authentication and Google APIs, visit: 
https://cloud.google.com/docs/authentication/getting-started"
